,PERMNO_x,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,CUSIP,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMDIS,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,BEGVOL,ENDVOL,yrMonth,TICKER,PERMNO_y,date,DIVAMT,PRC,RET,sprtrn,initialShr,value
25,12043,53482,31,233,,CHINA KANGHUI HOLDINGS,KH,541710.0,N,A,R,16890V10,0,0,1,3841,2,1,2,1,0,20100811,20121031,20100811,20121031,20100811,20121031,20100811,20121031,20100811,,,,,,,,,
26,12051,53484,11,233,,INTRALINKS HOLDINGS INC,IL,541512.0,N,A,R,46118H10,0,0,1,7372,2,1,80,1,0,20100806,20170119,20100806,20170119,20100806,20170119,20100806,20170119,20100806,,,,,,,,,
27,12070,53488,48,100,WSR,WHITESTONE REIT,WSR,531110.0,N,A,R,96608420,0,0,1,6798,4,112,116,1,0,20100826,20191231,20100826,20191231,20100826,20191231,20100826,20191231,20100826,WSR,,,,,,,,
28,12077,53489,12,560,,D MEDICAL INDUSTRIES LTD,DMED,541710.0,Q,A,R,M2809110,60069659,65970,3,9999,1,0,10,1,279,20100805,20120725,20100805,20120725,20100805,20120725,20100805,20120725,20100805,,,,,,,,,
29,12080,53491,11,574,,GORDMANS STORES INC,GMAN,452110.0,Q,A,R,38269P10,60069984,66522,3,9999,1,1,58,1,567,20100805,20170321,20100805,20170321,20100805,20170321,20100805,20170321,20100805,,,,,,,,,
30,12081,53492,11,233,,MEDIAMIND TECHNOLOGIES INC,MDMD,511210.0,Q,A,R,58449C10,60069867,66346,3,9999,1,1,8,1,97,20100811,20110726,20100811,20110726,20100811,20110726,20100811,20110726,20100811,,,,,,,,,
31,12082,53493,12,100,MMYT,MAKEMYTRIP LIMITED,MMYT,561520.0,Q,A,R,V5633W10,60069718,66070,3,9999,1,0,20,1,464,20100812,20191231,20100812,20191231,20100812,20191231,20100812,20191231,20100812,MMYT,,,,,,,,
32,12084,53494,12,100,NXPI,N X P SEMICONDUCTORS N V,NXPI,334413.0,Q,A,R,N6596X10,60069873,66354,3,9999,1,6,30,1,431,20100806,20191231,20100806,20191231,20100806,20191231,20100806,20191231,20100806,NXPI,,,,,,,,
33,12085,53495,11,261,,NUPATHE INC,PATH,541710.0,Q,A,R,67059M10,60069827,66244,3,9999,1,2,30,1,342,20100806,20140221,20100806,20140221,20100806,20140221,20100806,20140221,20100806,,,,,,,,,
34,12088,53496,11,231,,PARK STERLING BANK NEW,PSTB,522110.0,Q,A,R,70086Y10,60063387,55116,3,6022,2,19,67,1,637,20100813,20171130,20100813,20171130,20100813,20171130,20100813,20171130,20100813,,,,,,,,,
35,12089,53497,11,100,RP,REALPAGE INC,RP,541990.0,Q,A,R,75606N10,60069958,66469,3,9999,2,0,87,1,293,20100812,20191231,20100812,20191231,20100812,20191231,20100812,20191231,20100812,RP,,,,,,,,
36,12090,53498,11,261,,TRIUS THERAPEUTICS INC,TSRX,541710.0,Q,A,R,89685K10,60069173,65207,3,9999,1,2,33,1,208,20100803,20130911,20100803,20130911,20100803,20130911,20100803,20130911,20100803,,,,,,,,,
37,12093,53500,18,100,COR,CORESITE REALTY CORP,COR,519190.0,N,A,R,21870Q10,0,0,1,7375,2,37,114,1,0,20100923,20191231,20100923,20191231,20100923,20191231,20100923,20191231,20100923,COR,,,,,,,,
38,12097,53501,31,233,,COUNTRY STYLE CKG RST CHN CO LTD,CCSC,722511.0,N,A,R,22238M10,0,0,1,5812,2,1,3,1,0,20100928,20160420,20100928,20160420,20100928,20160420,20100928,20160420,20100928,,,,,,,,,
39,12101,53502,31,561,,ELSTER GROUP S E,ELT,334514.0,N,A,R,29034810,0,0,1,3829,2,0,2,1,0,20100930,20120828,20100930,20120828,20100930,20120828,20100930,20120828,20100930,,,,,,,,,
40,12103,53503,14,100,FSD,FIRST TRUST HIGH INC LNG SHRT FD,FSD,525910.0,N,A,R,33738E10,0,0,1,6722,4,109,116,1,0,20100928,20191231,20100928,20191231,20100928,20191231,20100928,20191231,20100928,FSD,,,,,,,,
41,12105,37493,73,100,ENZL,ISHARES TRUST,ENZL,525990.0,Q,A,R,46428912,60020878,66748,3,6726,3,19,213,1,133,20100902,20191231,20100902,20191231,20100902,20191231,20100902,20191231,20100902,ENZL,,,,,,,,
42,12109,37493,73,100,EWZS,ISHARES TRUST,EWZS,525990.0,Q,A,R,46428913,60020878,66896,3,6726,3,22,140,1,169,20100929,20191231,20100929,20191231,20100929,20191231,20100929,20191231,20100929,EWZS,,,,,,,,
43,12291,53506,71,560,,RHINO RESOURCE PARTNERS L P,RNO,212111.0,N,A,R,76218Y10,0,0,1,1221,1,18,64,1,0,20100930,20151217,20100930,20151217,20100930,20151217,20100930,20151217,20100930,,,,,,,,,
44,12293,53507,31,100,SFUN,FANG HOLDINGS LTD,SFUN,518210.0,N,A,R,30711Y20,0,0,1,7374,5,10,8,1,0,20100917,20191231,20100917,20191231,20100917,20191231,20100917,20191231,20100917,SFUN,,,,,,,,
45,12307,53510,11,100,AMRS,AMYRIS INC,AMRS,325411.0,Q,A,R,03236M20,60069888,66378,3,9999,2,1,102,1,435,20100928,20191231,20100928,20191231,20100928,20191231,20100928,20191231,20100928,AMRS,,,,,,,,
46,12308,17322,11,100,CHTR,CHARTER COMMUNICATIONS INC NEW,CHTR,515210.0,Q,A,R,16119P10,60017317,65347,3,4841,2,1,53,1,372,20100914,20191231,20100914,20191231,20100914,20191231,20100914,20191231,20100914,CHTR,,,,,,,,
47,12309,53511,14,231,,FULL CIRCLE CAPITAL CORP,FULL,522298.0,Q,A,R,35967110,60069848,66290,3,9999,1,63,58,1,521,20100901,20161103,20100901,20161103,20100901,20161103,20100901,20161103,20100901,,,,,,,,,
48,12310,53512,11,100,HGSH,CHINA H G S REAL ESTATE INC,HGSH,325320.0,Q,A,R,16948W10,60059788,50131,3,7389,3,0,88,1,539,20100913,20191231,20100913,20191231,20100913,20191231,20100913,20191231,20100913,HGSH,,,,,,,,
49,12311,53513,11,580,,KEYUAN PETROCHEMICALS INC,KEYP,,Q,A,R,49372210,60060859,51765,3,7389,1,1,6,1,80,20100915,20110331,20100915,20110331,20100915,20110331,20100915,20110331,20100915,,,,,,,,,
50,12312,53514,11,233,,SCIQUEST INC NEW,SQI,511210.0,Q,A,R,80908T10,60069897,66389,3,9999,1,1,50,1,372,20100924,20160728,20100924,20160728,20100924,20160728,20100924,20160728,20100924,,,,,,,,,
51,12313,53292,73,100,VONE,VANGUARD SCOTTSDALE FUNDS,VONE,525990.0,Q,A,R,92206C73,60069159,66785,3,6726,1,37,348,1,463,20100922,20191231,20100922,20191231,20100922,20191231,20100922,20191231,20100922,VONE,,,,,,,,
52,12314,53292,73,100,VONG,VANGUARD SCOTTSDALE FUNDS,VONG,525990.0,Q,A,R,92206C68,60069159,66786,3,6726,1,37,461,1,560,20100922,20191231,20100922,20191231,20100922,20191231,20100922,20191231,20100922,VONG,,,,,,,,
53,12315,53292,73,100,VONV,VANGUARD SCOTTSDALE FUNDS,VONV,525990.0,Q,A,R,92206C71,60069159,66787,3,6726,1,37,502,1,498,20100922,20191231,20100922,20191231,20100922,20191231,20100922,20191231,20100922,VONV,,,,,,,,
54,12316,53292,73,100,VTHR,VANGUARD SCOTTSDALE FUNDS,VTHR,525990.0,Q,A,R,92206C59,60069159,66791,3,6726,1,37,212,1,442,20100922,20191231,20100922,20191231,20100922,20191231,20100922,20191231,20100922,VTHR,,,,,,,,
55,12317,53292,73,100,VTWG,VANGUARD SCOTTSDALE FUNDS,VTWG,525990.0,Q,A,R,92206C62,60069159,66789,3,6726,1,23,124,1,419,20100922,20191231,20100922,20191231,20100922,20191231,20100922,20191231,20100922,VTWG,,,,,,,,
56,12318,53292,73,100,VTWO,VANGUARD SCOTTSDALE FUNDS,VTWO,525990.0,Q,A,R,92206C66,60069159,66788,3,6726,1,23,350,1,698,20100922,20191231,20100922,20191231,20100922,20191231,20100922,20191231,20100922,VTWO,,,,,,,,
57,12321,53292,73,100,VTWV,VANGUARD SCOTTSDALE FUNDS,VTWV,525990.0,Q,A,R,92206C64,60069159,66790,3,6726,1,23,101,1,525,20100922,20191231,20100922,20191231,20100922,20191231,20100922,20191231,20100922,VTWV,,,,,,,,
58,12323,53515,18,233,,CAMPUS CREST COMMUNITIES INC,CCG,611710.0,N,A,R,13466Y10,0,0,1,6798,3,18,69,1,0,20101014,20160302,20101014,20160302,20101014,20160302,20101014,20160302,20101014,,,,,,,,,
59,12324,53516,31,233,,CHINA MING YANG WIND PWR GRP LTD,MY,333611.0,N,A,R,16951C10,0,0,1,3511,1,1,2,1,0,20101001,20160622,20101001,20160622,20101001,20160622,20101001,20160622,20101001,,,,,,,,,
60,12325,53518,31,100,DQ,DAQO NEW ENERGY CORP,DQ,334413.0,N,A,R,23703Q20,0,0,1,3674,2,1,3,1,0,20101007,20191231,20101007,20191231,20101007,20191231,20101007,20191231,20101007,DQ,,,,,,,,
61,12329,53520,18,100,EFC,ELLINGTON FINANCIAL INC,EFC,523920.0,N,A,R,28852N10,0,0,1,6162,3,44,114,1,0,20101008,20191231,20101008,20191231,20101008,20191231,20101008,20191231,20101008,EFC,,,,,,,,
62,12330,53521,11,233,,EXAMWORKS GROUP INC,EXAM,621999.0,N,A,R,30066A10,0,0,1,8099,1,1,71,1,0,20101028,20160727,20101028,20160727,20101028,20160727,20101028,20160727,20101028,,,,,,,,,
63,12331,53522,44,100,GBAB,GUGGENHEIM TAXABLE MUN MGD DUR T,GBAB,525990.0,N,A,R,40166410,0,0,1,6726,2,108,113,1,0,20101027,20191231,20101027,20191231,20101027,20191231,20101027,20191231,20101027,GBAB,,,,,,,,
64,12332,53523,12,100,HBM,HUDBAY MINERALS INC,HBM,212231.0,N,A,R,44362810,0,0,1,1021,2,18,113,1,0,20101025,20191231,20101025,20191231,20101025,20191231,20101025,20191231,20101025,HBM,,,,,,,,
65,12337,53525,31,233,,SHANGPHARMA CORP,SHP,541710.0,N,A,R,81943P10,0,0,1,2834,2,1,3,1,0,20101019,20130327,20101019,20130327,20101019,20130327,20101019,20130327,20101019,,,,,,,,,
66,12339,53527,31,100,TAL,T A L EDUCATION GROUP,TAL,611699.0,N,A,R,87408010,0,0,1,8299,3,3,5,1,0,20101020,20191231,20101020,20191231,20101020,20191231,20101020,20191231,20101020,TAL,,,,,,,,
67,12340,53528,11,233,,TOWER INTERNATIONAL INC,TOWR,336370.0,N,A,R,89182610,0,0,1,3465,3,16,111,1,0,20101015,20190927,20101015,20190927,20101015,20190927,20101015,20190927,20101015,,,,,,,,,
68,12341,53529,14,100,HYI,WESTERN ASSET HIGH YLD DEF OP FD,HYI,525910.0,N,A,R,95768B10,0,0,1,6722,3,110,114,1,0,20101027,20191231,20101027,20191231,20101027,20191231,20101027,20191231,20101027,HYI,,,,,,,,
69,12342,53530,12,233,,SEACUBE CONTAINER LEASING LTD,BOX,551112.0,N,A,R,G7997810,0,0,1,4412,2,10,33,1,0,20101028,20130424,20101028,20130424,20101028,20130424,20101028,20130424,20101028,,,,,,,,,
70,12345,53531,12,100,LYB,LYONDELLBASELL INDUSTRIES N V,LYB,325211.0,N,A,R,N5374510,0,0,1,5169,3,35,114,1,0,20101014,20191231,20101014,20191231,20101014,20191231,20101014,20191231,20101014,LYB,,,,,,,,
71,12346,53531,12,331,,LYONDELLBASELL INDUSTRIES N V,LYBB,325211.0,N,A,R,N5374511,0,0,1,2821,1,1,4,1,0,20101014,20101206,20101014,20101206,20101014,20101206,20101014,20101206,20101014,,,,,,,,,
72,12347,53532,11,231,,AEGERION PHARMACEUTICALS INC,AEGR,325412.0,Q,A,R,00767E10,60070078,66693,3,9999,1,1,58,1,375,20101022,20161129,20101022,20161129,20101022,20161129,20101022,20161129,20101022,,,,,,,,,
73,12348,53533,11,233,,BRAVO BRIO RESTAURANT GROUP INC,BBRG,333314.0,Q,A,R,10567B10,60070149,66825,3,9999,1,1,68,1,321,20101021,20180523,20101021,20180523,20101021,20180523,20101021,20180523,20101021,,,,,,,,,
74,12349,53534,11,587,,BODY CENTRAL CORP,BODY,448150.0,Q,A,R,09689U10,60070162,66845,3,9999,1,0,33,1,184,20101015,20140708,20101015,20140708,20101015,20140708,20101015,20140708,20101015,,,,,,,,,
75,12350,53535,11,100,NETE,NET ELEMENT INC,NETE,518210.0,Q,A,R,64111R30,60070039,71259,3,9999,7,2,78,1,628,20101022,20191231,20101022,20191231,20101022,20191231,20101022,20191231,20101022,NETE,,,,,,,,
76,12352,53536,31,580,,CHINACACHE INTL HLDGS LTD,CCIH,518210.0,Q,A,R,16950M10,60070058,66661,3,9999,1,0,35,1,621,20101001,20190517,20101001,20190517,20101001,20190517,20101001,20190517,20101001,,,,,,,,,
77,12353,53537,31,233,,LE GAGA HOLDINGS LTD,GAGA,111219.0,Q,A,R,52116810,60070085,66702,3,9999,1,1,17,1,425,20101029,20141202,20101029,20141202,20101029,20141202,20101029,20141202,20101029,,,,,,,,,
78,12354,53538,31,233,,GLOBAL EDUCATION & TECH GRP LTD,GEDU,611710.0,Q,A,R,37951A10,60070110,66752,3,9999,1,1,5,1,131,20101008,20111220,20101008,20111220,20101008,20111220,20101008,20111220,20101008,,,,,,,,,
79,12355,53539,11,100,HRZN,HORIZON TECHNOLOGY FINANCE CORP,HRZN,523910.0,Q,A,R,44045A10,60069655,65961,3,9999,2,93,89,1,517,20101029,20191231,20101029,20191231,20101029,20191231,20101029,20191231,20101029,HRZN,,,,,,,,
80,12356,53540,11,233,,KEYW HOLDING CORP,KEYW,541512.0,Q,A,R,49372310,60069926,66419,3,9999,1,1,79,1,343,20101001,20190611,20101001,20190611,20101001,20190611,20101001,20190611,20101001,,,,,,,,,
81,12357,53541,31,233,,MECOX LANE LTD,MCOX,454111.0,Q,A,R,58403M20,60070136,66809,3,9999,2,2,23,1,322,20101026,20160414,20101026,20160414,20101026,20160414,20101026,20160414,20101026,,,,,,,,,
82,12358,53542,11,100,BIMI,N F ENERGY SAVING CORP,BIMI,517410.0,Q,A,R,62909930,60053286,39574,3,4899,2,0,81,1,584,20101004,20191231,20101004,20191231,20101004,20191231,20101004,20191231,20101004,BIMI,,,,,,,,
83,12359,53543,11,233,,NETSPEND HOLDINGS INC,NTSP,522210.0,Q,A,R,64118V10,60070095,66723,3,9999,1,1,24,1,108,20101019,20130628,20101019,20130628,20101019,20130628,20101019,20130628,20101019,,,,,,,,,
84,12360,53544,11,100,PACB,PACIFIC BIOSCIENCES CALIF INC,PACB,334516.0,Q,A,R,69404D10,60070112,66755,3,9999,2,0,87,1,342,20101027,20191231,20101027,20191231,20101027,20191231,20101027,20191231,20101027,PACB,,,,,,,,
85,12362,53545,11,100,STND,STANDARD A V B FINANCIAL CORP,STND,522110.0,Q,A,R,85303B10,60076632,79271,3,9999,4,14,41,1,448,20101007,20191231,20101007,20191231,20101007,20191231,20101007,20191231,20101007,STND,,,,,,,,
86,12363,53546,11,100,VRA,VERA BRADLEY INC,VRA,316992.0,Q,A,R,92335C10,60070047,66633,3,9999,1,0,83,1,395,20101021,20191231,20101021,20191231,20101021,20191231,20101021,20191231,20101021,VRA,,,,,,,,
87,12364,53547,11,233,,AEROFLEX HOLDING CORP,ARX,334413.0,N,A,R,00776710,0,0,1,3674,1,1,48,1,0,20101119,20140912,20101119,20140912,20101119,20140912,20101119,20140912,20101119,,,,,,,,,
88,12365,53549,31,100,BITA,BITAUTO HOLDINGS LTD,BITA,454111.0,N,A,R,09172710,0,0,1,7374,2,0,9,1,0,20101117,20191231,20101117,20191231,20101117,20191231,20101117,20191231,20101117,BITA,,,,,,,,
89,12366,53550,11,100,BAH,BOOZ ALLEN HAMILTON HOLDING CORP,BAH,541611.0,N,A,R,09950210,0,0,1,8742,1,34,111,1,0,20101117,20191231,20101117,20191231,20101117,20191231,20101117,20191231,20101117,BAH,,,,,,,,
90,12368,53553,14,100,PSF,COHEN & STEERS SLT PFD & INC FD,PSF,525910.0,N,A,R,19248Y10,0,0,1,6722,2,115,112,1,0,20101124,20191231,20101124,20191231,20101124,20191231,20101124,20191231,20101124,PSF,,,,,,,,
91,12369,53554,11,100,GM,GENERAL MOTORS CO,GM,336111.0,N,A,R,37045V10,0,0,1,3711,1,24,111,1,0,20101118,20191231,20101118,20191231,20101118,20191231,20101118,20191231,20101118,GM,,,,,,,,
92,12373,53556,11,100,HHC,HOWARD HUGHES CORP,HHC,531110.0,N,A,R,44267D10,0,0,1,6531,4,0,114,1,0,20101110,20191231,20101110,20191231,20101110,20191231,20101110,20191231,20101110,HHC,,,,,,,,
93,12374,53557,11,100,IPHI,INPHI CORP,IPHI,334413.0,N,A,R,45772F10,0,0,1,3674,1,0,111,1,0,20101111,20191231,20101111,20191231,20101111,20191231,20101111,20191231,20101111,IPHI,,,,,,,,
94,12376,53558,14,100,KMF,KAYNE ANDERSON MDSTM ENGY FD INC,KMF,525910.0,N,A,R,48661E10,0,0,1,6722,2,47,112,1,0,20101124,20191231,20101124,20191231,20101124,20191231,20101124,20191231,20101124,KMF,,,,,,,,
95,12377,53559,31,100,NOAH,NOAH HOLDINGS LTD,NOAH,523920.0,N,A,R,65487X10,0,0,1,6282,2,2,9,1,0,20101110,20191231,20101110,20191231,20101110,20191231,20101110,20191231,20101110,NOAH,,,,,,,,
96,12379,53560,44,231,,NUVEEN BUILD AMERICA BOND OPP FD,NBD,525990.0,N,A,R,67074Q10,0,0,1,6722,3,96,100,1,0,20101124,20181116,20101124,20181116,20101124,20181116,20101124,20181116,20101124,,,,,,,,,
97,12380,53561,11,100,PCYG,PARK CITY GROUP INC,PCYG,518210.0,Q,A,R,70021530,70018709,70020345,3,7374,3,0,92,1,234,20101102,20191231,20101102,20191231,20101102,20191231,20101102,20191231,20101102,PCYG,,,,,,,,
98,12382,53562,31,570,,PROMOTORA DE INFORMACIONES S A,PRIS,511110.0,N,A,R,74343G20,0,0,1,2711,1,0,1,1,0,20101203,20140922,20101203,20140922,20101203,20140922,20101203,20140922,20101203,,,,,,,,,
99,12383,53562,31,331,,PROMOTORA DE INFORMACIONES S A,PRISB,511110.0,N,A,R,74343G30,0,0,1,2711,1,5,1,1,0,20101203,20140714,20101203,20140714,20101203,20140714,20101203,20140714,20101203,,,,,,,,,
100,12384,53563,11,241,,SEMGROUP CORP,SEMG,213112.0,N,A,R,81663A10,0,0,1,4613,3,29,113,1,0,20101111,20191204,20101111,20191204,20101111,20191204,20101111,20191204,20101111,,,,,,,,,
101,12385,53564,31,100,SMFG,SUMITOMO MITSUI FINANCIAL GP INC,SMFG,522110.0,N,A,R,86562M20,0,0,1,6029,1,14,7,1,0,20101101,20191231,20101101,20191231,20101101,20191231,20101101,20191231,20101101,SMFG,,,,,,,,
102,12388,53565,31,233,,SYSWIN INC,SYSW,531210.0,N,A,R,87205810,0,0,1,6531,1,1,2,1,0,20101124,20130409,20101124,20130409,20101124,20130409,20101124,20130409,20101124,,,,,,,,,
103,12390,53567,31,233,,XUEDA EDUCATION GROUP,XUE,611691.0,N,A,R,98418W10,0,0,1,8299,1,4,2,1,0,20101102,20160603,20101102,20160603,20101102,20160603,20101102,20160603,20101102,,,,,,,,,
104,12391,53568,12,100,CMRE,COSTAMARE INC,CMRE,483111.0,N,A,R,Y1771G10,0,0,1,4412,1,36,111,1,0,20101104,20191231,20101104,20191231,20101104,20191231,20101104,20191231,20101104,CMRE,,,,,,,,
105,12392,53570,11,233,,ANACOR PHARMACEUTICALS INC,ANAC,325411.0,Q,A,R,03242010,60070280,67025,3,9999,1,1,55,1,347,20101124,20160623,20101124,20160623,20101124,20160623,20101124,20160623,20101124,,,,,,,,,
106,12396,53572,31,584,,SINOTECH ENERGY LTD,CTE,541330.0,Q,A,R,82935910,60070232,66952,3,9999,1,0,5,1,106,20101103,20110816,20101103,20110816,20101103,20110816,20101103,20110816,20101103,,,,,,,,,
107,12397,53573,12,100,GLBS,GLOBUS MARITIME LTD,GLBS,483111.0,Q,A,R,Y2726540,60070185,66880,3,9999,3,9,27,1,548,20101126,20191231,20101126,20191231,20101126,20191231,20101126,20191231,20101126,GLBS,,,,,,,,
108,12398,53574,11,233,,COMPLETE GENOMICS INC,GNOM,541710.0,Q,A,R,20454K10,60070116,66759,3,9999,1,1,20,1,107,20101111,20130318,20101111,20130318,20101111,20130318,20101111,20130318,20101111,,,,,,,,,
109,12399,53575,12,574,,IMRIS INC,IMRS,334510.0,Q,A,R,45322N10,60067337,67283,3,9999,1,0,4,1,327,20101119,20150603,20101119,20150603,20101119,20150603,20101119,20150603,20101119,,,,,,,,,
110,12400,53576,11,100,LPLA,L P L FINANCIAL HOLDINGS INC,LPLA,523210.0,Q,A,R,50212V10,60069919,66418,3,9999,3,31,84,1,278,20101118,20191231,20101118,20191231,20101118,20191231,20101118,20191231,20101118,LPLA,,,,,,,,
111,12401,53577,12,552,,LIZHAN ENVIRONMENTAL CORP,LZEN,551112.0,Q,A,R,G5532910,60069692,66029,3,9999,1,0,6,1,250,20101119,20121012,20101119,20121012,20101119,20121012,20101119,20121012,20101119,,,,,,,,,
